Category,Class,Mandal,NDVI
High,1,Kangti,0.6025787871
High,1,Sirgapoor,0.6084142757
Moderate,2,Nagalgidda,0.5932051423
Moderate,2,Kalher,0.5456187345
High,1,Narayankhed,0.6339747809
Moderate,2,Manoor,0.5296397501
Moderate,2,Nyalkal,0.580920911
Moderate,2,Zahirabad,0.5905634648
High,1,Mogudampally,0.6394329481
Moderate,2,Kohir,0.595392047
High,1,Jharasangam,0.618040649
Moderate,2,Raikode,0.4647174051
Moderate,2,Vatpally,0.4962570513
Moderate,2,Munipally,0.5373974398
High,1,Andole,0.6031466374
Moderate,2,Pulkal,0.5156712892
High,1,Sadasivpet,0.6337163835
High,1,Kondapur,0.6142487686
Moderate,2,Sangareddy,0.5703397307
Moderate,2,Hathnoora,0.5968580797
High,1,Kandi,0.6170680977
Moderate,2,Patancheruvu,0.5588127671
Moderate,2,Jinnaram,0.5615780139
High,1,Gummadidala,0.6274297293
Low,3,Ameenpur,0.4497855337
Moderate,2,Ramachandrapuram,0.5441769624
Moderate,2,Choutkur,0.5988062969
