Mandal,NDVI,Total_MCM
Kangti,0.6026,103
Sirgapoor,0.6084,56.2
Nagalgidda,0.5932,77.5
Kalher,0.5456,79.4
Narayankhed,0.6340,146.1
Manoor,0.5296,84.4
Nyalkal,0.5809,138.8
Zahirabad,0.5906,131.9
Mogudampally,0.6394,61.3
Kohir,0.5954,90.3
Jharasangam,0.6180,98
Raikode,0.4647,94.9
Vatpally,0.4963,58.9
Munipally,0.5374,74.9
Andole,0.6031,112.5
Pulkal,0.5157,57.3
Sadasivpet,0.6337,73
Kondapur,0.6142,45.4
Sangareddy,0.5703,24.8
Hathnoora,0.5969,83.3
Kandi,0.6171,35.4
Patancheruvu,0.5588,11.9
Jinnaram,0.5616,24.8
Gummadidala,0.6274,27.1
Ameenpur,0.4498,5.1
Ramachandrapuram,0.5442,1.8
Choutkur,0.5988,32.3
